Time,Distance,Status
942,3394,OK
841,3320,OK
703,3069,OK
958,3861,OK
909,3843,OK
695,2975,OK
851,3656,OK
699,2955,OK
646,3161,OK
826,3498,OK
880,3721,OK
868,3921,OK
958,4430,OK
866,4353,OK
707,3011,OK
927,3834,OK
600,2579,OK
860,3258,OK
765,3511,OK
769,3175,OK
718,3133,OK
627,2746,OK
981,4018,OK
798,3717,OK
665,2984,OK
892,3765,OK
892,3765,OK
664,2977,OK
740,3214,OK
935,3704,OK
961,4140,OK
988,4016,OK
990,4223,OK
696,3010,OK
884,4030,OK
947,3784,OK
663,2971,OK
685,3364,OK
662,2961,OK
916,3866,OK
675,3163,OK
940,3733,OK
662,2966,OK
661,2955,OK
842,3327,OK
651,2884,OK
862,3847,OK
654,2908,OK
946,3754,OK
653,2930,OK
696,3011,OK
843,3333,OK
843,3333,OK
807,4153,OK
928,3839,OK
670,3027,OK
682,3198,OK
968,3238,OK
981,4018,OK
757,3464,OK
890,4493,OK
629,2644,OK
940,3796,OK
787,3668,OK
987,4213,OK
909,3841,OK
713,3047,OK
880,3724,OK
840,3310,OK
858,3248,OK
882,3739,OK
733,3175,OK
875,3586,OK
839,4185,OK
963,4272,OK
669,3148,OK
964,3869,OK
881,3734,OK
881,3734,OK
767,3163,OK
840,3313,OK
888,3752,OK
945,3776,OK
693,3250,OK
936,3699,OK
980,4011,OK
815,4201,OK
674,3176,OK
929,3846,OK
738,3218,OK
944,3745,OK
969,3829,OK
969,3829,OK
934,3696,OK
950,3779,OK
937,3719,OK
796,3708,OK
777,3103,OK
721,3079,OK
978,4231,OK
784,3243,OK
682,2923,OK
886,3158,OK
827,3509,OK
827,3509,OK
983,4200,OK
896,3660,OK
677,3039,OK
609,2650,OK
694,2994,OK
711,3032,OK
861,3263,OK
883,3750,OK
824,3785,OK
972,4326,OK
841,3317,OK
929,3846,OK
634,2640,OK
881,3731,OK
660,2950,OK
724,3182,OK
976,3257,OK
844,3342,OK
933,3875,OK
953,3802,OK
982,3789,OK
932,3827,OK
980,4190,OK
983,3986,OK
889,3754,OK
889,3754,OK
969,4409,OK
886,3158,OK
944,3746,OK
992,4006,OK
911,4185,OK
757,3043,OK
673,3027,OK
722,3174,OK
885,3765,OK
687,3018,OK
658,2904,OK
887,3616,OK
700,3038,OK
935,3830,OK
684,3002,OK
979,4003,OK
769,3129,OK
841,3321,OK
931,3856,OK
792,3720,OK
961,3415,OK
860,3257,OK
935,3700,OK
729,3159,OK
736,3528,OK
736,3528,OK
736,3528,OK
976,4177,OK
936,3705,OK
720,3356,OK
708,3015,OK
856,3237,OK
659,2941,OK
672,3012,OK
881,3731,OK
972,4221,OK
840,4149,OK
754,3532,OK
951,3789,OK
862,4043,OK
806,3501,OK
699,3028,OK
928,4357,OK
728,3168,OK
886,3770,OK
983,4006,OK
780,3370,OK
780,3370,OK
884,3755,OK
744,3206,OK
845,3760,OK
845,3760,OK
931,3862,OK
954,3807,OK
721,3164,OK
729,3218,OK
887,4474,OK
714,3144,OK
936,3712,OK
883,3750,OK
717,3143,OK
854,3816,OK
936,3712,OK
776,3584,OK
980,3778,OK
845,3350,OK
937,3710,OK
774,3093,OK
699,3000,OK
710,3032,OK
971,3426,OK
770,3196,OK
719,3156,OK
936,3888,OK
714,3130,OK
688,3248,OK
944,3745,OK
944,3745,OK
842,3327,OK
1008,4440,OK
978,3779,OK
747,3101,OK
684,3359,OK
821,3204,OK
945,3752,OK
932,3866,OK
656,2949,OK
955,3812,OK
940,3796,OK
909,3842,OK
975,3777,OK
730,3223,OK
825,3226,OK
891,3908,OK
662,3308,OK
870,3294,OK
631,2784,OK
708,3101,OK
887,3777,OK
712,3116,OK
866,4307,OK
702,3065,OK
915,3441,OK
915,3441,OK
672,3017,OK
987,3849,OK
710,3109,OK
951,3788,OK
944,3744,OK
709,3106,OK
938,3715,OK
738,3273,OK
933,3871,OK
701,2966,OK
975,3974,OK
840,3604,OK
700,3034,OK
846,3356,OK
725,3135,OK
843,3334,OK
977,3261,OK
718,3144,OK
906,3826,OK
846,3580,OK
739,3181,OK
984,4285,OK
730,3225,OK
1006,4433,OK
822,3210,OK
822,3210,OK
863,3747,OK
985,3989,OK
649,2885,OK
725,3148,OK
850,3717,OK
909,3434,OK
945,3748,OK
716,3137,OK
939,3727,OK
655,2752,OK
842,3328,OK
724,3141,OK
980,4244,OK
697,2990,OK
1001,4169,OK
671,3030,OK
823,3214,OK
744,3086,OK
985,4411,OK
714,3127,OK
974,3968,OK
822,3213,OK
780,3616,OK
824,3217,OK
933,3877,OK
933,3877,OK
643,2691,OK
725,3134,OK
894,3417,OK
884,3750,OK
774,3163,OK
976,3753,OK
978,3961,OK
985,4288,OK
940,3723,OK
773,3198,OK
643,2860,OK
909,3849,OK
829,3531,OK
682,3099,OK
985,3990,OK
789,3708,OK
976,3252,OK
849,4204,OK
726,3139,OK
987,3790,OK
678,3070,OK
943,3748,OK
717,3075,OK
761,3482,OK
923,3926,OK
923,3926,OK
940,3738,OK
731,3235,OK
810,3525,OK
996,4244,OK
669,3013,OK
969,3753,OK
993,4236,OK
938,3313,OK
683,3355,OK
980,4251,OK
731,3234,OK
855,3804,OK
977,3954,OK
715,3338,OK
773,3239,OK
913,3438,OK
701,3042,OK
709,3079,OK
918,3201,OK
794,3301,OK
705,3076,OK
795,3406,OK
775,3581,OK
730,3153,OK
759,3475,OK
759,3475,OK
944,3910,OK
934,3886,OK
713,3128,OK
770,3551,OK
883,3476,OK
910,3856,OK
666,2991,OK
991,4230,OK
921,3395,OK
765,3230,OK
841,3151,OK
994,4042,OK
972,4327,OK
825,3226,OK
957,3823,OK
878,4418,OK
664,2976,OK
944,3752,OK
958,4307,OK
908,4168,OK
955,3811,OK
838,3133,OK
981,4269,OK
845,3347,OK
982,3768,OK
982,3768,OK
973,3739,OK
767,3371,OK
908,3928,OK
840,3142,OK
967,3762,OK
715,3142,OK
963,3758,OK
935,3890,OK
847,4238,OK
842,4210,OK
733,3610,OK
759,3474,OK
961,3492,OK
719,3080,OK
732,3226,OK
676,3044,OK
987,4213,OK
945,3943,OK
